ID,Name,Link,UserName,Type,NumberTrack,Duration,DateCreate,Like,Repost,TrackIds
0,Gentle Dreams 🛏️ - An Indie/Chill/Electronic Playlist,/alexrainbirdmusic/sets/gentle-dreams-an-indie-chill,alexrainbirdMusic,Electronic,18,58:21,2017-05-13T21:22:32.000Z,"121,006","9,223",0;1;2;3
1,Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist | Vol. 1,/alexrainbirdmusic/sets/relaxing-sunday-mornings-an,alexrainbirdMusic,Folk & Singer-Songwriter,16,51:54,2017-04-15T18:12:24.000Z,"69,520","4,459",4;5;6;7
2,Indie,/doodleberryy/sets/indie-amazingness-uvu,nixa,Indie,523,38:21:26,2015-06-22T22:47:17.000Z,"2,087",149,8;9;10;11
3,Indie,/universoindie/sets/indie-rock,Universo_Indie,None,381,29:21:02,2014-08-01T19:07:14.000Z,"1,122",181,12;13;14;15
4,indie ♥,/galakhan/sets/indie,Galakhan,Indie,294,18:49:22,2013-01-21T22:19:41.000Z,"2,266",687,16;17;18;19
5,Indie,/edo-amzah/sets/indie,Edo Amzah,None,427,59:20,2020-11-14T14:56:53.000Z,25,1,20;21;22;23
6,indie,/connor-jones-216201522/sets/indie,Connor Jones,None,477,1:05:11,2016-03-21T20:03:50.000Z,281,18,24;25;26;27
7,Indie,/nat-lia-miranda-12/sets/indie,Natália,None,388,35:32:51,2015-03-17T18:32:26.000Z,138,7,28;29;30;31
8,Indie,/jonfoulds/sets/indie,jonfoulds,None,496,1:03:50,2020-05-13T17:39:58.000Z,47,1,32;33;34;35
9,indie&...,/margarita-majim/sets/indie,Margarita Majim,None,497,54:33,2012-12-04T23:12:09.000Z,466,87,36;37;38;39
10,Indie,/msia-aban/sets/indie,Msia Aban,None,492,1:08:21,2018-07-21T20:36:15.000Z,19,2,40;20;41;42
11,indie,/usktgui/sets/indie,usktgui,None,29,50:51,2013-07-04T05:02:34.000Z,279,45,28;43;44;45
12,INDIE,/thewarmup/sets/indie,THEWARMUP,Indie,443,52:44,2014-07-29T01:00:05.000Z,203,15,46;47;48;49
13,Indie,/lawcpoo/sets/indie,Lawcpoo,Electronic,456,36:53:51,2016-11-12T00:13:48.000Z,64,5,50;51;52;53
14,indie,/pillowpoof/sets/indie,pillowpoof,None,417,30:22:36,2017-10-09T19:57:20.000Z,166,16,54;55;56;57
15,Indie,/jackkkvfx/sets/indie,Jack Walmsley,None,440,26:43:36,2017-03-28T15:26:16.000Z,134,10,58;59;60;61
16,Indie,/ot-tran/sets/indie,ột,None,462,32:28:41,2017-08-05T09:56:23.000Z,21,2,62;63;64;65
17,indie,/katrina-watson-516635338/sets/indie,Katrina Watson,None,475,53:27,2016-04-04T20:12:46.000Z,102,11,66;67;68;19
18,indie,/mke-castillo/sets/indie,Mke Castillo,None,475,1:04:17,2017-02-23T03:19:33.000Z,7,0,69;70;71;72
19,Indie,/lyssahaw/sets/indie,Alyssa M. Shaw,None,327,44:20,2018-01-16T07:06:02.000Z,79,7,73;74;75;76
20,Indie,/minh-ch-uu-543004713/sets/indie,Minh Châu,None,418,59:26,2017-12-22T16:03:29.000Z,9,3,77;78;79;80
21,Indie,/edmond-snorton/sets/indie-1,Edmond Snorton,None,507,33:30:04,2015-09-09T23:44:11.000Z,19,1,81;82;83;84
22,Indie,/cole-becker-3/sets/young-blood,Cole Becker,Indie,487,46:56,2017-02-26T07:33:39.000Z,17,2,85;86;87;88
23,Indie,/wallix/sets/indie,Wallix,None,496,52:05,2018-04-16T03:04:49.000Z,3,0,89;90;91;92
24,Indie,/givano-1/sets/indie,Givano,None,405,1:14:34,2015-07-02T20:49:18.000Z,7,2,93;94;95;96
25,Indie,/drew-armstrong-7/sets/indie,Drew Armstrong,None,466,29:28:44,2017-05-02T16:02:25.000Z,9,2,97;98;99;100
26,indie,/user-435816731/sets/indie,blackispoetic,None,438,30:29:01,2016-07-10T04:41:21.000Z,23,4,101;102;103;104
27,indie,/user447049761/sets/indie,user447049761,None,420,32:14:44,2016-11-20T22:36:30.000Z,27,3,105;106;107;108
28,Indie,/shiiya-knott/sets/indie,ShiiyaK,Electronic,412,29:17:26,2016-02-04T02:52:14.000Z,18,1,109;110;111;112
29,indie,/leah-contreras/sets/indie,Leah Contreras,None,370,22:22:18,2016-10-27T16:25:54.000Z,9,0,113;114;115;116
30,indie,/ernest-engelbrecht/sets/indie,Ernest Engelbrecht,None,318,24:37:39,2015-08-17T23:31:23.000Z,17,1,117;118;119;120
31,indie,/t-d-ng-thanh-hi-n/sets/indie,hynbiii,None,447,36:36:27,2018-08-14T04:41:38.000Z,3,0,121;122;123;124
32,Indie,/jessica-rusch/sets/indie,Jessica Rusch,None,183,49:11,2017-05-31T09:30:21.000Z,17,2,125;126;127;128
33,indie,/gadra-prmn/sets/indie,Gadra Prmn,None,378,25:23:50,2018-08-11T08:01:34.000Z,2,0,129;130;131;132
34,indie,/queeny-beryl/sets/indie,Queeny Beryl,None,332,52:37,2017-05-14T07:28:21.000Z,19,2,133;134;135;136
35,indie,/49913/sets/indie,Jabłko,None,161,1:04:29,2020-02-13T03:38:27.000Z,5,0,137;138;139;140
36,Indie,/user-157459121/sets/indie,User 157459121,None,418,28:54:44,2020-05-23T02:49:39.000Z,0,0,141;142;143;144
37,Indie,/user640047029/sets/indie,Jarret,None,455,29:43:17,2015-01-05T21:49:43.000Z,15,2,145;146;147;148
38,indie,/timothy-dicaprio-saragih/sets/indie,Timothy Dicaprio Saragih,None,342,59:06,2018-01-28T23:43:34.000Z,3,0,129;149;150;151
39,INDIE,/natalia-barbosa248/sets/indie,natalia,None,434,27:24:34,2019-04-08T21:47:30.000Z,3,0,152;153;154;155
40,Indie....,/guy-geerts-517180179/sets/moon-shine-on,Goodiebag,Rock,473,1:04:51,2021-05-12T16:04:50.000Z,1,0,156;157;158;159
41,indie,/jerel-antonio-watkins/sets/indie,Jerel Antonio Watkins,None,476,36:50:31,2018-12-31T21:58:58.000Z,7,0,160;161;162;163
42,indie,/agung-surya-dilaga/sets/indie,Agung Surya Dilaga,None,339,26:04:32,2017-11-18T09:38:06.000Z,4,1,164;165;166;167
43,Chill Tracks (Winter 2015),/best-indie-playlists/sets/chill-tracks-winter-2015,Best Indie Playlists,Chill,21,1:25:36,2015-11-23T00:14:12.000Z,"19,446","1,886",168;169;170;171
44,indie,/user-388435048/sets/indie,isobel,None,451,29:15:18,2016-08-16T04:18:24.000Z,6,0,172;173;174;175
45,Indie,/chillcall/sets/indie,Chill Call,None,305,23:48:00,2013-09-03T21:07:19.000Z,561,161,176;177;178;179
46,Indie,/lauren-nigh-3/sets/indie,Lauren Nigh,None,412,25:45:31,2015-04-21T05:23:37.000Z,5,0,180;181;182;183
47,Indie,/kaijukitten/sets/indie,Kaiju Kitten,Indie,447,37:01,2017-12-02T05:49:03.000Z,2,0,184;185;186;187
48,indie,/user-46760167/sets/indie,bagaspriandi,None,292,22:45:03,2020-07-06T18:42:10.000Z,0,0,188;189;190;191
49,indie,/donyabasim/sets/indie,Basim,None,385,36:07:27,2018-08-26T19:09:33.000Z,5,1,192;193;194
50,Indie,/gabrielot/sets/serenidad,Gabrielot,Electronic,423,31:15:39,2016-08-10T17:31:45.000Z,0,0,195;196;197;198
51,Indie,/wendyg33072/sets/indie,Wendyg33072,Indie/Pop/Alternative,433,57:48,2015-10-19T07:33:22.000Z,8,2,199;200;201;202
52,INDIE,/kiiddeath/sets/indie,Kiiddeath,None,403,48:29,2021-09-24T22:01:33.000Z,0,0,203;204;205;206
53,INDIE,/sexybeast21/sets/indie,sexybeast21,None,307,25:00:51,2015-03-09T02:49:14.000Z,7,1,207;208;209;210
54,indie,/ecallong/sets/indie,Ecallong,None,332,25:16:33,2017-05-08T04:30:40.000Z,1,1,211;212;213;214
55,Indie,/harvey-gore/sets/indie,Harvey Gore,None,469,36:19:26,2016-04-07T17:27:21.000Z,2,0,215;216;43;217
56,indie,/ng-b-o-257186049/sets/indie,đông Bảo,None,407,28:34:55,2019-07-04T11:49:20.000Z,1,0,218;219;220;221
57,indie,/jonathan-jimenez-914021322/sets/indie,Jonathan Jimenez,None,498,31:57:00,2017-08-05T00:57:41.000Z,3,0,222;223;224;225
58,indie,/torrie-dawn/sets/indie,Torrie Dawn,Hip Hop,368,24:21:05,2014-07-17T03:22:23.000Z,7,1,226;227;228;229
59,Indie,/nawar-helios/sets/indie,Nawar Helios,None,227,15:50:39,2021-10-28T20:21:58.000Z,0,0,230;231;232;233
60,Indie,/michellejonker/sets/indie,michellejonker,Indie Rock,394,1:00:34,2014-11-19T08:37:13.000Z,12,2,234;235;236;237
61,indie,/moralse/sets/indie,esenza,None,392,26:12:37,2016-11-27T06:05:19.000Z,4,1,238;239;240;241
62,indie,/user-557236805/sets/indie,micash0908,None,395,27:52:29,2016-05-17T12:44:28.000Z,2,1,242;243;244
63,INDIE,/rapeanu-danut/sets/indie,Rapeanu Danut,None,336,55:10,2013-12-16T12:47:51.000Z,4,0,245;246;247;248
64,indie,/achmad-wahyu-912091640/sets/indie,Achmad Wahyu,None,324,27:05:48,2017-04-09T06:50:04.000Z,1,0,249;250;251
65,Indie,/bayu-muhammad-dzulfiqor/sets/indie,Bayu Muhammad Dzulfiqor,None,301,23:11:35,2017-10-02T17:00:00.000Z,2,0,252;253;254
66,Indie,/user-226914000/sets/indie,JuliusBeats,None,487,55:37,2020-08-30T07:28:17.000Z,3,0,255;256;257
67,indie,/muhammad-randika-558167051/sets/indie,Muhammad Randika,None,303,22:58:48,2018-09-29T07:30:26.000Z,3,0,258;259;260
68,INDIE,/jinken-go/sets/indie,jinken Go,None,458,55:44,2019-12-16T06:51:07.000Z,1,0,261;262;263;264
69,Indie♡,/user-849515998/sets/indie,ilovepenguins1226,None,257,51:32,2021-09-19T14:40:45.000Z,0,0,265;266;267
70,indie,/riley-jakubowow/sets/indie,l. Riley,None,407,44:37,2016-07-28T17:04:41.000Z,6,0,19;268;68;269
71,Indie New Arrivals: Stitches,/soundcloud-scenes/sets/stitches-indie-new-arrivals,Scenes: Indie,Indie,93,39:29,2019-03-13T21:15:55.000Z,"11,539",471,270;271;272
72,Indie,/patricio-guzman12/sets/indie,patricioguzman,None,308,51:43,2021-07-22T01:26:47.000Z,2,0,273;274;275
73,indie,/user-889736851/sets/indie,SamFlynn,Electronic,411,57:48,2019-05-17T23:00:28.000Z,3,0,276;277;278;279
74,Chill Bedroom Pop: Cozy,/soundcloud-scenes/sets/cozy-chill-bedroom-pop,Scenes: Indie,Indie,98,19:47,2019-10-25T13:52:52.000Z,"14,955",677,280;281;282
75,Indie,/josh-hernandez-834082330/sets/indie,Josh Hernandez,None,463,30:28:34,2020-10-07T23:03:18.000Z,1,0,283;284;285
76,indie,/hmuna-fanai/sets/indie,hmuna fanai,Indie,327,22:31:58,2013-07-25T14:53:09.000Z,18,2,286;287;288
77,Indie,/user565454348/sets/indie,drewlad420,None,464,28:24:55,2019-03-20T10:50:18.000Z,0,0,289;290;291
78,Indie,/vanessasalnave/sets/indie,vanessasalnave,None,355,24:47:00,2016-05-31T04:24:12.000Z,2,1,292;293;294;295
79,Best Rap Classics (All-Time),/officialdigitalrecords/sets/hiphopbangers,Digital Records,Hip-hop & Rap,31,1:04:10,2016-12-23T04:33:40.000Z,"28,902","1,452",296;297;298
80,Indie,/user-82506666/sets/eunu0kl9oaaa,Radiss,Indie,305,1:08:15,2018-03-13T12:25:53.000Z,1,0,41;299;300
81,Indie,/maddi-rose-385318232/sets/indie,Maddi Rose,indie,343,23:49:45,2015-12-23T12:49:47.000Z,1,1,301;302;303
82,Indie,/user-973994787/sets/indie,disc1aimer,None,382,26:53:49,2018-11-07T16:46:19.000Z,0,0,304;305;306;307
83,Indie,/3lyse/sets/indie,3lyse,None,275,44:27:33,2013-11-27T00:34:02.000Z,30,7,308;309;310
84,Indie,/nursch/sets/indie,nursch,None,260,2:28:26,2020-05-30T18:13:35.000Z,2,0,311;312;313
85,indie,/zulfan-fathin/sets/indie,Zulfan Fathin,None,287,22:43:14,2015-08-07T10:33:06.000Z,33,0,314;315;316
86,Indie,/lawrenc-davidson/sets/indie,Lawrencé Davidson,None,383,52:14,2017-04-17T21:55:20.000Z,3,1,317;318;319
87,Indie,/daryl-hall-4/sets/indie,Daryl Hall 4,None,258,44:52:09,2013-12-29T12:17:08.000Z,6,1,320;321;322
88,Indie,/user-195109937/sets/indie,LGoat,None,287,16:37:38,2021-08-24T18:39:22.000Z,0,0,323;324;325
89,indie,/user-892252191/sets/indie,almightyraulph,None,354,45:23,2018-06-04T08:03:26.000Z,5,1,326;327;328;329
90,Indie,/nguy-n-t-nga-2/sets/indie,Selena 🌝,None,355,22:40:55,2019-03-21T05:53:53.000Z,4,2,330;331;332;333
91,indie,/user-456335895/sets/indie,samantha,None,323,22:27:43,2017-07-08T05:06:14.000Z,4,2,334;335;336
92,INDIE,/user-855167295/sets/indie,User 855167295,None,435,46:05,2021-02-24T12:25:13.000Z,0,0,337;338;339
93,indie,/user-772724284/sets/indie,littleital24,None,371,52:19,2016-01-23T10:03:26.000Z,0,0,340;341;342
94,Dawn of Winter 2015,/best-indie-playlists/sets/dawn-of-winter-2015,Best Indie Playlists,indie,11,28:41,2015-11-10T21:56:33.000Z,"12,976","1,585",343;344;345;276
95,indie,/raya-desta/sets/indie,Raya Desta,None,276,18:31:23,2020-06-02T01:17:38.000Z,1,0,346;347;348
96,Indie,/le_bre/sets/indie,ŁeBre,Indie Rock,234,17:32:05,2015-04-16T15:24:41.000Z,3,0,349;350;351
97,Indie,/keeganscu/sets/indie,MyMusic,None,300,52:30,2014-01-17T18:44:49.000Z,8,0,352;353;354
98,Indie,/chavicha/sets/indie,chavicha,None,239,57:24,2020-10-17T03:44:25.000Z,0,0,355;356;357
99,indie,/jennifer-benech/sets/indie,Jennifer Benech,None,302,1:00:45,2021-09-06T02:02:54.000Z,1,0,358;359;360
100,Indie,/user-392203037/sets/indie,musik.q,None,353,55:00,2020-05-12T11:12:01.000Z,4,0,361;362;363
101,Indie,/thanhtungyeuem/sets/nang-dem,thanhtungyeuem,Indie,384,55:44,2021-02-17T07:08:38.000Z,1,0,364;365;366;367
102,indie,/user-383468594/sets/indie,lmimi,None,237,24:37:40,2016-04-18T15:55:36.000Z,1,0,368;369;370
103,Indie,/travelerjames/sets/indie,LotusFlow-आओ हम चलें,Pop,303,56:50,2019-08-09T20:10:45.000Z,12,2,371;372;373
104,indie,/duyen-khanh-23241253/sets/indie,Duyên Khánh,None,353,22:57:06,2020-05-04T02:35:32.000Z,3,0,374;375;376
105,INDIE,/unfuucktheworld/sets/indie,unfuucktheworld,Pop,241,17:04:39,2013-12-30T00:33:37.000Z,31,5,377;378;379
106,Indie,/costa-magarakis/sets/indie,Duck Pirate (aka Costa Magarakis),None,374,26:26:56,2020-11-01T21:10:23.000Z,0,0,380;381;382
107,indie,/user-927323643/sets/indie,jianna evangeline,None,420,25:39:47,2017-01-07T16:29:40.000Z,7,0,383;384;385;386
108,indie,/caddymix024/sets/indie,caddymix024,indie,358,22:45:41,2017-11-06T12:12:43.000Z,2,1,387;388;389
109,Indie,/user-973609749/sets/indie,Vianne,None,80,4:31:46,2021-10-30T02:02:59.000Z,0,0,45;390;391
110,indie,/user-143020530/sets/indie,tayler brands,None,263,55:26,2015-08-16T16:51:42.000Z,5,0,392;393;394
111,indie,/m-ibrahim-ramadhan/sets/indie,M Ibrahim Ramadhan,None,231,1:04:16,2019-02-13T19:46:34.000Z,2,0,395;396;397;398
112,Indie,/slate_m/sets/indie-vibes,Slate.M,None,356,23:05:33,2018-05-03T22:16:02.000Z,7,0,399;400;401
113,Indie,/gary-vose/sets/indie,Gary Vose,None,385,1:21:40,2020-05-18T18:42:17.000Z,2,0,402;403;404
114,indie,/myranda-emmi/sets/indie,Myranda.emmi,None,228,56:13,2014-01-30T19:01:08.000Z,7,0,405;406;407
115,INDIE,/user-791920779/sets/indie-1,Jonny Owen,None,482,2:08:42,2020-05-01T08:38:37.000Z,0,0,408;409;410
116,Indie,/artem-kufaev/sets/specially-for-my-friend,Artem K.,None,316,56:45,2017-05-16T06:57:47.000Z,4,0,411;412;413
117,Indie,/thomas602/sets/indie,Thomas602,None,20,52:47,2021-10-28T00:22:28.000Z,0,0,414;415;416;417
118,Indie,/damar-nagoro-pati/sets/indie,Damar Nagoro Pati,None,255,18:42:50,2017-08-12T23:16:48.000Z,1,0,418;419
119,indie,/princesssugarbubbles/sets/indie,Princesssugarbubbles,None,357,44:37,2017-07-06T17:42:38.000Z,6,0,420;421;422
120,INDIE,/pho23/sets/indie,pho23,None,274,29:18:26,2015-09-29T16:18:35.000Z,1,0,423;424;425
121,indie,/rkboy/sets/indie,RKboy,Indie,313,51:56,2014-01-21T15:23:38.000Z,8,0,426;427;428
122,indie?,/megan-davies-74/sets/indie,Megan Davies,None,354,51:23,2015-07-30T13:37:55.000Z,16,4,429;430;431
123,indie,/londynreed/sets/indie,londyn ✿,None,388,1:06:23,2018-08-12T18:23:09.000Z,4,0,432;433;434
124,Indie,/aswedo/sets/indie,aswedo,None,312,20:50:45,2014-04-18T20:49:18.000Z,2,2,435;436;437;438
125,indie,/scarlett-albanese/sets/indie,Scarlett Albanese,None,343,22:24:12,2015-03-05T01:16:38.000Z,2,0,43;439;440
126,indie,/user-495171597/sets/indie,Audreyartha,None,240,1:04:57,2019-08-29T18:48:44.000Z,0,0,441;442
127,Indie,/morgan-sheedy-130631225/sets/indie,Morgan higgins sheedy,None,376,23:46:46,2020-02-06T03:13:17.000Z,2,0,443;444;445;446
128,indie.,/jerrissa-trayes/sets/indie,Jerrissa Lewis,None,234,1:07:06,2017-09-22T02:17:09.000Z,4,2,447;448;449
129,Indie,/djosu12/sets/indie,DJOSU12,None,352,21:16:27,2014-08-12T03:49:00.000Z,3,0,450;451;452
130,Indie,/tjohnson257/sets/indie,Tjohnson257,Indie,335,20:56:09,2018-04-20T12:10:15.000Z,2,0,453;454;455;209
