ID,Name,Link,UserName,Type,NumberTrack,Duration,DateCreate,Like,Repost,TrackIds
0,Gentle Dreams 🛏️ - An Indie/Chill/Electronic Playlist,/alexrainbirdmusic/sets/gentle-dreams-an-indie-chill,alexrainbirdMusic,Electronic,18,58:21,2017-05-13T21:22:32.000Z,"121,006","9,223",https://soundcloud.com/joelportermusic/mountain-twin;https://soundcloud.com/fins-ara/veer;https://soundcloud.com/tragicsasha/gracious;https://soundcloud.com/wearecharliemay/call
1,Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist | Vol. 1,/alexrainbirdmusic/sets/relaxing-sunday-mornings-an,alexrainbirdMusic,Folk & Singer-Songwriter,16,51:54,2017-04-15T18:12:24.000Z,"69,520","4,459",https://soundcloud.com/plasimusic/now-and-then;https://soundcloud.com/chase-mcbride/days-move-easy;https://soundcloud.com/joel-ansett/give-our-hearts-some-weight-2;https://soundcloud.com/neiajane/photographs
2,Indie,/doodleberryy/sets/indie-amazingness-uvu,nixa,Indie,523,38:21:26,2015-06-22T22:47:17.000Z,"2,087",149,https://soundcloud.com/firewoodisland/simon-abbey-road-master;https://soundcloud.com/glassanimals/hazey;https://soundcloud.com/glassanimals/gooey;https://soundcloud.com/echosmith/tell-her-you-love-her
3,Indie,/universoindie/sets/indie-rock,Universo_Indie,None,381,29:21:02,2014-08-01T19:07:14.000Z,"1,122",181,https://soundcloud.com/cultscultscults/high-road;https://soundcloud.com/jackandeliza/secrets;https://soundcloud.com/arkells/arkells-never-thought-that;https://soundcloud.com/thepainsofbeingpure/this-love-is-fucking-right
4,indie ♥,/galakhan/sets/indie,Galakhan,Indie,294,18:49:22,2013-01-21T22:19:41.000Z,"2,266",687,https://soundcloud.com/capturedtracks/wild-nothing-paradise;https://soundcloud.com/goldandyouth/time-to-kill;https://soundcloud.com/blackberries/08-i-heart-sharks-suburbia;https://soundcloud.com/atlantic-records-uk/grouplove-colours
5,Indie,/edo-amzah/sets/indie,Edo Amzah,None,427,59:20,2020-11-14T14:56:53.000Z,25,1,https://soundcloud.com/fourtwntymusic/akutenang;https://soundcloud.com/floatproject/pulang;https://soundcloud.com/segarapatikna/dialog-dini-hari-tentang-rumahku;https://soundcloud.com/radio-indie/diatas-meja-payung-teduh
6,indie,/connor-jones-216201522/sets/indie,Connor Jones,None,477,1:05:11,2016-03-21T20:03:50.000Z,281,18,https://soundcloud.com/awolnation/sail-unlimited-gravity-remix-1;https://soundcloud.com/ian-kehinde/awolnation-jailbreakion-remix;https://soundcloud.com/lindseystomp/shatter-me-feat-lzzy-hale;https://soundcloud.com/nightcore-3/nightcore-cocaine
7,Indie,/nat-lia-miranda-12/sets/indie,Natália,None,388,35:32:51,2015-03-17T18:32:26.000Z,138,7,https://soundcloud.com/plusonemusic/the-kooks-naive;https://soundcloud.com/smoke-and-mirrors-5/03-smoke-and-mirrors;https://soundcloud.com/smoke-and-mirrors-5/04-im-so-sorry;https://soundcloud.com/haimtime/haimthewire
8,Indie,/jonfoulds/sets/indie,jonfoulds,None,496,1:03:50,2020-05-13T17:39:58.000Z,47,1,https://soundcloud.com/the1975/sex;https://soundcloud.com/portugaltheman/the-sun;https://soundcloud.com/atlas-genius/trojans-1;https://soundcloud.com/theskylifeofficial/realize-its-time
9,indie&...,/margarita-majim/sets/indie,Margarita Majim,None,497,54:33,2012-12-04T23:12:09.000Z,466,87,https://soundcloud.com/cillo/of-monsters-and-men-yellow;https://soundcloud.com/capturedtracks/beach-fossils-careless-1;https://soundcloud.com/alt-j/alt-j-fitzpleasure-betatraxx;https://soundcloud.com/carouselmusicpage/carousel-stay-awake
10,Indie,/msia-aban/sets/indie,Msia Aban,None,492,1:08:21,2018-07-21T20:36:15.000Z,19,2,https://soundcloud.com/bandaneira/ke-entah-berantah-versi-album;https://soundcloud.com/fourtwntymusic/akutenang;https://soundcloud.com/payung-teduh-official/untuk-perempuan-yang-sedang-di;https://soundcloud.com/payung-teduh-official/rahasia
11,indie,/usktgui/sets/indie,usktgui,None,29,50:51,2013-07-04T05:02:34.000Z,279,45,https://soundcloud.com/plusonemusic/the-kooks-naive;https://soundcloud.com/tony-hoffer/the-kooks-she-moves-in-her-own-way;https://soundcloud.com/jazz-4/the-kooks-ooh-la;https://soundcloud.com/plusonemusic/the-kooks-always-where-i-need
