ID,Name,Link,UserName,Type,Time,Date,Played,Like,Repost
0,Joel Porter,https://soundcloud.com/joelportermusic/mountain-twin,Mountain Twin,Ambient,5:17,2017-03-05T15:44:32.000Z,"4,126,390","52,703","1,670"
1,Fins Ara,https://soundcloud.com/fins-ara/veer,Veer,Folk & Singer-Songwriter,3:09,2017-05-17T12:42:03.000Z,"3,252,498","40,426","1,444"
2,Tragic Sasha,https://soundcloud.com/tragicsasha/gracious,Gracious,Folk & Singer-Songwriter,3:51,2017-03-06T07:40:44.000Z,"2,088,575","19,622",612
3,CharlieMay,https://soundcloud.com/wearecharliemay/call,Call,Indie,3:29,2016-11-29T02:47:02.000Z,"1,910,676","20,708",703
4,Plàsi,https://soundcloud.com/plasimusic/now-and-then,Now & Then,Folk & Singer-Songwriter,3:02,2016-11-30T11:21:20.000Z,"4,548,218","82,680","2,118"
5,Chase McBride,https://soundcloud.com/chase-mcbride/days-move-easy,Days Move Easy,Folk & Singer-Songwriter,2:42,2017-01-18T16:43:19.000Z,"2,762,382","26,635",886
6,Joel Ansett,https://soundcloud.com/joel-ansett/give-our-hearts-some-weight-2,Give Our Hearts Some Weight,Folk & Singer-Songwriter,3:50,2017-02-01T04:56:43.000Z,"2,705,429","30,575",976
7,Neia Jane,https://soundcloud.com/neiajane/photographs,Photographs,Indie,3:45,2016-09-24T17:13:42.000Z,"1,630,253","13,919",354
8,Firewoodisland,https://soundcloud.com/firewoodisland/simon-abbey-road-master,Simon,indie folk,3:34,2014-10-13T09:18:20.000Z,"318,417","3,433",275
9,Glass Animals,https://soundcloud.com/glassanimals/hazey,Hazey,Alternative,0:30,2014-01-01T00:00:00.000Z,"4,072,749","71,833","11,179"
10,Glass Animals,https://soundcloud.com/glassanimals/gooey,Gooey,Alternative,0:30,2014-01-01T00:00:00.000Z,"14,854,329","239,929","36,924"
11,Echosmith,https://soundcloud.com/echosmith/tell-her-you-love-her,Tell Her You Love Her,Alternative,0:30,2013-10-04T00:00:00.000Z,"342,933","5,450",448
12,cultscultscults,https://soundcloud.com/cultscultscults/high-road,High Road,Cults,4:28,2013-08-30T18:01:23.000Z,"588,666","7,625","1,046"
13,Jack + Eliza,https://soundcloud.com/jackandeliza/secrets,Secrets,Alternative,3:24,2014-07-22T21:28:11.000Z,"380,646","4,902",785
14,Arkells,https://soundcloud.com/arkells/arkells-never-thought-that,Never Thought That This Would Happen,Rock,0:30,2014-08-05T00:00:00.000Z,"189,412","1,322",228
15,The Pains Of Being Pure at Heart,https://soundcloud.com/thepainsofbeingpure/this-love-is-fucking-right,This Love Is Fucking Right!,None,3:15,2011-02-28T00:12:25.000Z,"35,082",199,20
16,capturedtracks,https://soundcloud.com/capturedtracks/wild-nothing-paradise,Wild Nothing // Paradise,Feeling,5:31,2012-08-06T15:49:33.000Z,"557,344","6,565",945
17,Gold & Youth,https://soundcloud.com/goldandyouth/time-to-kill,Time To Kill,Indie,4:36,2012-03-02T07:34:29.000Z,"244,808","3,103",428
18,blackberries,https://soundcloud.com/blackberries/08-i-heart-sharks-suburbia,08 I heart sharks - suburbia,Indietronic,5:02,2011-12-02T15:59:02.000Z,"111,117","1,425",236
19,Atlantic Records UK,https://soundcloud.com/atlantic-records-uk/grouplove-colours,Grouplove - Colours,Indie,4:14,2011-02-15T10:42:08.000Z,0,0,0
20,Fourtwnty,https://soundcloud.com/fourtwntymusic/akutenang,Aku Tenang,Indie,3:48,2013-04-14T09:36:49.000Z,"16,007,622","201,294","6,487"
21,Float,https://soundcloud.com/floatproject/pulang,Pulang,Folk,3:19,2011-08-20T08:34:25.000Z,"4,619,490","52,260","2,974"
22,Segara Patikna,https://soundcloud.com/segarapatikna/dialog-dini-hari-tentang-rumahku,Dialog Dini Hari - Tentang Rumahku,Folk & Singer-Songwriter,4:05,2018-02-05T03:59:44.000Z,"311,113","2,333",31
23,Radio Indie,https://soundcloud.com/radio-indie/diatas-meja-payung-teduh,Diatas Meja - Payung Teduh,Pop,5:29,2017-12-15T15:08:11.000Z,"1,558,877","20,162",339
